datetime,temperature_c,humidity_percent,wind_speed_kmh,solar_radiation_wm2,cloud_cover_percent
2021-09-01 00:00:00,23.3,88,8.3,0.0,31
2021-09-01 01:00:00,23.1,89,9.7,0.0,69
2021-09-01 02:00:00,23.1,89,9.8,0.0,37
2021-09-01 03:00:00,23.0,89,8.9,0.0,25
2021-09-01 04:00:00,22.8,89,8.2,0.0,14
2021-09-01 05:00:00,22.7,90,6.0,0.0,61
2021-09-01 06:00:00,23.2,88,7.4,9.0,27
2021-09-01 07:00:00,24.4,83,9.9,127.0,40
2021-09-01 08:00:00,25.7,78,13.5,295.0,34
2021-09-01 09:00:00,26.4,74,14.2,406.0,45
2021-09-01 10:00:00,26.6,77,14.2,603.0,24
2021-09-01 11:00:00,27.6,76,11.9,689.0,43
2021-09-01 12:00:00,28.5,71,12.4,857.0,19
2021-09-01 13:00:00,29.1,69,12.0,822.0,29
2021-09-01 14:00:00,27.8,71,10.8,726.0,59
2021-09-01 15:00:00,27.7,70,11.6,453.0,55
2021-09-01 16:00:00,26.9,74,11.6,343.0,59
2021-09-01 17:00:00,26.2,79,9.9,203.0,53
2021-09-01 18:00:00,25.3,80,11.5,53.0,40
2021-09-01 19:00:00,24.4,83,11.2,0.0,58
2021-09-01 20:00:00,23.8,86,9.9,0.0,64
2021-09-01 21:00:00,23.4,88,9.4,0.0,39
2021-09-01 22:00:00,23.2,89,10.1,0.0,21
2021-09-01 23:00:00,23.1,89,11.4,0.0,100
2021-09-02 00:00:00,23.1,88,13.3,0.0,68
2021-09-02 01:00:00,22.7,90,14.5,0.0,43
2021-09-02 02:00:00,22.2,89,15.7,0.0,48
2021-09-02 03:00:00,22.2,89,15.8,0.0,52
2021-09-02 04:00:00,22.3,89,13.3,0.0,17
2021-09-02 05:00:00,22.7,89,9.4,0.0,24
2021-09-02 06:00:00,22.9,89,7.2,9.0,18
2021-09-02 07:00:00,24.0,84,9.7,126.0,37
2021-09-02 08:00:00,25.5,75,10.3,284.0,37
2021-09-02 09:00:00,26.7,71,8.0,467.0,36
2021-09-02 10:00:00,27.6,69,7.1,586.0,54
2021-09-02 11:00:00,27.1,72,8.0,510.0,44
2021-09-02 12:00:00,28.1,70,5.2,634.0,28
2021-09-02 13:00:00,27.4,76,4.7,636.0,96
2021-09-02 14:00:00,25.1,86,1.5,284.0,84
2021-09-02 15:00:00,26.2,80,3.5,348.0,60
2021-09-02 16:00:00,26.6,77,1.0,333.0,82
2021-09-02 17:00:00,26.5,75,2.5,225.0,93
2021-09-02 18:00:00,24.6,87,4.1,51.0,96
2021-09-02 19:00:00,24.0,89,3.3,0.0,97
2021-09-02 20:00:00,24.0,90,3.0,0.0,99
2021-09-02 21:00:00,23.7,92,3.1,0.0,99
2021-09-02 22:00:00,23.6,92,4.9,0.0,99
2021-09-02 23:00:00,23.3,92,5.9,0.0,97
2021-09-03 00:00:00,22.8,94,6.1,0.0,22
2021-09-03 01:00:00,22.5,94,6.0,0.0,97
2021-09-03 02:00:00,22.3,94,5.6,0.0,99
2021-09-03 03:00:00,22.1,95,6.2,0.0,93
2021-09-03 04:00:00,22.1,95,5.9,0.0,92
2021-09-03 05:00:00,22.0,95,5.1,0.0,88
2021-09-03 06:00:00,22.9,92,4.8,9.0,80
2021-09-03 07:00:00,24.4,87,2.0,120.0,81
2021-09-03 08:00:00,25.9,78,2.7,343.0,76
2021-09-03 09:00:00,26.8,76,3.7,524.0,44
2021-09-03 10:00:00,27.5,74,6.1,594.0,83
2021-09-03 11:00:00,26.3,78,5.2,578.0,77
2021-09-03 12:00:00,26.6,78,5.1,448.0,54
2021-09-03 13:00:00,27.1,77,6.0,606.0,98
2021-09-03 14:00:00,26.5,76,3.6,402.0,97
2021-09-03 15:00:00,25.7,83,5.9,232.0,96
2021-09-03 16:00:00,25.1,87,5.0,151.0,95
2021-09-03 17:00:00,26.3,77,3.2,119.0,99
2021-09-03 18:00:00,24.7,88,3.6,39.0,97
2021-09-03 19:00:00,24.0,91,4.9,0.0,100
2021-09-03 20:00:00,23.7,92,5.7,0.0,99
2021-09-03 21:00:00,23.4,92,5.4,0.0,99
2021-09-03 22:00:00,23.3,93,5.1,0.0,99
2021-09-03 23:00:00,22.9,95,3.3,0.0,100
2021-09-04 00:00:00,22.5,96,2.6,0.0,100
2021-09-04 01:00:00,22.4,96,2.1,0.0,100
2021-09-04 02:00:00,22.3,97,2.3,0.0,100
2021-09-04 03:00:00,22.3,96,2.3,0.0,100
2021-09-04 04:00:00,22.5,96,2.3,0.0,99
2021-09-04 05:00:00,22.4,97,2.5,0.0,99
2021-09-04 06:00:00,22.7,96,3.4,2.0,100
2021-09-04 07:00:00,23.3,95,4.8,45.0,100
2021-09-04 08:00:00,23.4,94,5.9,98.0,100
2021-09-04 09:00:00,24.0,90,5.7,173.0,100
2021-09-04 10:00:00,24.6,89,5.4,303.0,93
2021-09-04 11:00:00,25.0,86,6.3,372.0,98
2021-09-04 12:00:00,24.9,87,4.0,339.0,100
2021-09-04 13:00:00,24.8,88,4.7,253.0,98
2021-09-04 14:00:00,25.7,88,7.4,467.0,98
2021-09-04 15:00:00,25.8,87,3.2,350.0,96
2021-09-04 16:00:00,24.8,84,8.1,218.0,98
2021-09-04 17:00:00,23.7,91,2.9,35.0,100
2021-09-04 18:00:00,23.8,93,1.3,21.0,99
2021-09-04 19:00:00,23.5,95,2.9,0.0,100
2021-09-04 20:00:00,23.3,96,5.0,0.0,100
2021-09-04 21:00:00,23.2,96,4.3,0.0,100
2021-09-04 22:00:00,23.2,96,3.5,0.0,100
2021-09-04 23:00:00,22.7,97,3.9,0.0,96
2021-09-05 00:00:00,22.0,98,3.2,0.0,89
2021-09-05 01:00:00,22.0,97,2.6,0.0,91
2021-09-05 02:00:00,22.8,94,1.8,0.0,98
2021-09-05 03:00:00,22.4,96,2.3,0.0,94
2021-09-05 04:00:00,22.1,97,1.9,0.0,98
2021-09-05 05:00:00,21.8,97,5.4,0.0,97
2021-09-05 06:00:00,22.1,96,4.8,6.0,98
2021-09-05 07:00:00,22.7,92,4.9,87.0,99
2021-09-05 08:00:00,23.7,87,5.9,228.0,100
2021-09-05 09:00:00,24.6,83,5.5,251.0,100
2021-09-05 10:00:00,25.4,80,6.1,329.0,97
2021-09-05 11:00:00,26.5,75,6.4,532.0,89
2021-09-05 12:00:00,27.6,75,7.8,741.0,61
2021-09-05 13:00:00,27.8,73,8.0,773.0,63
2021-09-05 14:00:00,28.3,69,6.5,553.0,81
2021-09-05 15:00:00,26.3,79,10.1,379.0,75
2021-09-05 16:00:00,26.4,80,6.1,278.0,88
2021-09-05 17:00:00,26.5,79,5.2,174.0,91
2021-09-05 18:00:00,25.0,88,3.6,43.0,90
2021-09-05 19:00:00,24.3,91,4.0,0.0,43
2021-09-05 20:00:00,23.6,94,4.2,0.0,54
2021-09-05 21:00:00,23.4,94,2.8,0.0,73
2021-09-05 22:00:00,23.1,95,2.9,0.0,84
2021-09-05 23:00:00,22.9,95,3.9,0.0,97
2021-09-06 00:00:00,22.6,96,4.6,0.0,99
2021-09-06 01:00:00,22.4,96,4.3,0.0,100
2021-09-06 02:00:00,22.4,97,3.8,0.0,92
2021-09-06 03:00:00,22.4,97,3.6,0.0,100
2021-09-06 04:00:00,22.3,98,3.1,0.0,100
2021-09-06 05:00:00,22.4,97,3.7,0.0,100
2021-09-06 06:00:00,22.6,96,2.4,3.0,100
2021-09-06 07:00:00,22.9,96,3.1,41.0,100
2021-09-06 08:00:00,23.5,93,3.6,95.0,100
2021-09-06 09:00:00,23.9,95,5.7,152.0,100
2021-09-06 10:00:00,25.2,93,4.8,351.0,97
2021-09-06 11:00:00,26.8,85,4.9,628.0,84
2021-09-06 12:00:00,27.7,81,5.9,669.0,64
2021-09-06 13:00:00,28.3,74,10.9,577.0,95
2021-09-06 14:00:00,26.2,84,4.7,479.0,100
2021-09-06 15:00:00,27.2,76,9.0,386.0,100
2021-09-06 16:00:00,26.0,83,7.7,237.0,100
2021-09-06 17:00:00,26.3,84,5.7,134.0,94
2021-09-06 18:00:00,25.3,89,4.1,40.0,100
2021-09-06 19:00:00,24.4,91,5.4,0.0,99
2021-09-06 20:00:00,24.5,88,4.5,0.0,98
2021-09-06 21:00:00,23.7,95,2.6,0.0,94
2021-09-06 22:00:00,24.3,87,1.5,0.0,94
2021-09-06 23:00:00,24.4,86,3.8,0.0,96
2021-09-07 00:00:00,23.5,94,4.3,0.0,100
2021-09-07 01:00:00,23.6,94,5.0,0.0,59
2021-09-07 02:00:00,23.3,96,5.4,0.0,100
2021-09-07 03:00:00,23.3,97,5.8,0.0,100
2021-09-07 04:00:00,23.2,98,6.5,0.0,100
2021-09-07 05:00:00,22.8,99,7.9,0.0,100
2021-09-07 06:00:00,23.1,99,6.4,4.0,100
2021-09-07 07:00:00,23.6,98,5.4,60.0,100
2021-09-07 08:00:00,24.1,98,6.6,115.0,100
2021-09-07 09:00:00,24.7,93,11.2,171.0,71
2021-09-07 10:00:00,26.4,93,8.5,533.0,94
2021-09-07 11:00:00,25.9,84,13.8,454.0,34
